date,dpt_09,dpt_11,dpt_12,dpt_30,dpt_31,dpt_32,dpt_34,dpt_46,dpt_48,dpt_65,dpt_66,dpt_81,dpt_82,total_occitanie
2018-01-01,36427,60093,33180,83708,161793,25691,166126,32670,15021,94459,152906,36720,29136,927930
2018-01-02,18132,33031,14487,42753,84032,12851,80693,14781,6257,33643,71513,18550,13421,444144
2018-01-03,14976,27231,13997,36904,75692,13027,73849,13041,5611,31812,81041,16327,11459,414967
2018-01-04,14176,25905,13108,34353,71062,10445,66395,11325,4830,29530,71453,15073,11412,379067
2018-01-05,11655,21763,11145,31649,69249,9284,63774,10504,4271,23467,52785,13890,10663,334099
2018-01-06,9520,19602,10310,28993,61636,8172,59769,9025,3168,14943,39036,12463,9643,286280
2018-01-07,6024,14842,6069,22376,49189,6667,43584,5687,2785,8501,30026,8215,8308,212273
2018-01-08,6608,15120,6254,22021,49688,5749,46874,6545,2476,8154,28416,8318,8776,214999
2018-01-09,6603,14568,6348,21876,53994,6338,46116,6061,2123,9103,28705,8658,8446,218939
2018-01-10,6454,15590,6833,22943,51562,6688,46132,5752,2405,9775,30520,6964,9123,220741
2018-01-11,6302,15332,6100,21959,52490,5971,49312,6264,2562,9333,30766,7309,7765,221465
2018-01-12,6930,15934,7361,22911,58319,6467,53063,5909,2779,13820,39220,8603,7922,249238
2018-01-13,9024,16447,8687,25946,63987,7141,57586,7931,3156,16688,38127,11096,9506,275322
2018-01-14,5577,12656,5759,21510,51288,5841,44818,5594,1892,8836,26238,8462,7213,205684
2018-01-15,6228,15926,7141,24460,61514,7747,53575,6843,2888,10042,29064,9532,8533,243493
2018-01-16,6151,17357,7932,25265,69552,7527,55987,7148,2837,10537,31428,10160,8703,260584
2018-01-17,5693,16444,6081,24073,59584,6311,49980,7037,2688,10826,27833,8265,8826,233641
2018-01-18,6117,15550,7386,23164,54194,6707,47089,6141,2550,10363,28754,8523,9277,225815
2018-01-19,7323,16721,7029,29549,61993,6371,57019,7763,3168,18599,37747,8631,8617,270530
2018-01-20,9306,17583,8551,32764,65875,7719,63881,8669,3269,21284,45027,10615,9662,304205
2018-01-21,5687,13856,6295,22896,47861,6283,44158,5394,2063,11660,29305,7594,7854,210906
2018-01-22,4778,11024,4316,13900,31174,4776,30689,4283,2164,6928,17872,5067,5480,142451
2018-01-23,4315,11108,5440,14665,31437,5243,32763,4573,2263,7842,19238,5728,5990,150605
2018-01-24,6894,15237,6349,21837,52967,6711,50253,6171,2195,11895,30784,8005,7979,227277
2018-01-25,7091,16475,6846,22586,56449,5865,46577,6096,2040,13721,29747,7714,8776,229983
2018-01-26,8960,17807,7954,24825,62641,6446,54511,6696,2773,22555,43457,9154,9417,277196
2018-01-27,9980,19753,9959,27323,69974,6654,65277,8755,3300,26981,47013,11625,10250,316844
2018-01-28,6346,13922,6671,20666,50966,6594,48998,6335,2071,14864,31915,8166,7253,224767
2018-01-29,5829,15008,7326,19798,54172,6377,50808,6308,2682,12932,29605,7740,7958,226543
2018-01-30,4839,12499,5816,17354,41303,5524,41404,4950,2667,10450,24275,6565,7501,185147
2018-01-31,5937,15098,6647,21557,53655,7035,47104,5609,2794,13693,31211,7368,8885,226593
2018-02-01,6096,15775,6713,22773,53888,6358,49663,5481,2437,14359,32203,8138,6967,230851
2018-02-02,8885,18386,7344,28546,61673,7028,59480,6982,3540,25600,46646,9774,8135,292019
2018-02-03,10678,20280,9775,30187,64055,7771,63516,9775,3331,27757,49080,10755,8744,315704
2018-02-04,5506,11735,5277,16741,37892,6191,36687,5246,1628,12169,26332,6472,6336,178212
2018-02-05,7040,15990,6891,22201,51611,6214,48533,6193,2170,17809,35057,8690,7234,235633
2018-02-06,6928,13951,6585,22563,54297,6408,49956,6314,2583,17036,34618,9064,7086,237389
2018-02-07,7063,14284,5789,21088,56509,6891,52322,6649,3092,18388,34168,8764,8499,243506
2018-02-08,7521,16687,6149,24192,56199,5778,53138,6162,2616,17794,38543,9100,8573,252452
2018-02-09,9517,20160,7545,27577,65456,7320,61350,7538,2735,30494,46634,10096,9110,305532
2018-02-10,13213,23192,9517,30210,74822,8497,74460,9489,3429,46302,53277,11382,10088,367878
2018-02-11,11162,18907,7010,26055,57893,6678,54975,6858,2181,44320,47522,10059,7706,301326
2018-02-12,12148,21532,9200,26719,60173,6544,57238,7586,2780,32553,47121,11671,8642,303907
2018-02-13,12175,21390,9066,28899,61786,6891,61322,8153,2481,29926,45480,11003,8687,307259
2018-02-14,12937,21366,8443,28523,65458,6872,63082,8225,2677,32256,49509,11655,9271,320274
2018-02-15,11683,21638,9836,29395,61390,8091,63257,8461,3297,31187,50573,11620,9297,319725
2018-02-16,14771,26092,10757,35173,71587,8596,76481,11606,4229,33613,59217,12719,10675,375516
2018-02-17,17269,28476,15080,38575,81364,9222,86971,14143,5435,37373,65600,14376,11828,425712
2018-02-18,14642,23890,11996,31662,65922,7714,72619,11021,4132,33490,60214,12370,10338,360010
2018-02-19,15340,27493,13079,30182,70376,8566,71565,11581,5053,34428,62017,13657,11483,374820
2018-02-20,15630,27303,13208,31413,70851,8865,70206,11766,4898,33553,64922,13535,11288,377438
2018-02-21,13702,24623,11564,28776,64395,8172,64914,10357,4852,29812,58363,12135,11428,343093
2018-02-22,15024,26065,13369,31820,71241,8869,70235,11928,4804,34135,62941,13602,11855,375888
2018-02-23,16754,27877,14995,35419,79965,9725,79767,14795,5522,36171,71148,14907,12972,420017
2018-02-24,18355,29586,17767,36552,85518,10359,84179,15727,6452,42545,77284,16881,15541,456746
2018-02-25,14618,22193,12637,28388,67138,8759,66318,11323,4480,35042,66595,13201,10787,361479
2018-02-26,14682,25686,13306,28741,65835,8896,66544,11949,5360,33646,65902,12953,12237,365737
2018-02-27,12430,22501,12432,26326,57621,8546,58317,10529,4287,29105,59279,11888,10281,323542
2018-02-28,12622,27435,12578,27648,58611,8022,77859,10780,4676,28356,59335,12257,11073,351252
2018-03-01,17422,40372,18224,40672,84915,12425,103598,15087,7213,36847,81390,17974,16132,492271
2018-03-02,13790,23221,14040,31827,70645,9592,70008,12420,5873,33414,63811,12222,11081,371944
2018-03-03,14941,25813,15348,32028,75026,10649,76285,12404,5657,34231,59135,14056,12956,388529
2018-03-04,8845,14455,7719,20432,45017,6929,42545,7880,4063,18029,33857,7644,8326,225741
